Setup,NCV Accuracy,sd,InnovationAsInitialcolor,InnovationAsMajorityColorSeen,perc_color_neigbors,perc_color_friends
AmAz,0.8297147516723797,5.918160742418151e-05,0.03110980615731945,0.394923690443095,0.5739665033995855,0.0
LilMor,0.8415964241525755,0.006095306785888629,0.01631346630502352,0.0243088942076603,0.8430477637526635,0.11632987573465269
RojNar,0.8573945954359011,0.004115734403271563,0.05360413193991736,0.217051671114978,0.5813963652058722,0.14794783173923248
VerMag,0.8484500574052813,0.005763444499660676,0.053062572494064916,0.21531502548595113,0.5689702862076913,0.16265211581229275
